원본행,기간,회사,직무,zeroshot_input,직무_대분류,직무_중분류,직무_소분류,분류확신도,검토메모,링크
10368,2020 상반기,한국철도공사(코레일),영남권 기계일반,"회사: 한국철도공사(코레일) | 직무: 영남권 기계일반 | 유형: 신입, 공기업",연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/26409?page=525&sort=RECENT_SCRAP_COUNT&tab=all
10369,2015 하반기,기아,생산기술,회사: 기아 | 직무: 생산기술 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/20423?page=525&sort=RECENT_SCRAP_COUNT&tab=all
10370,2016 하반기,코오롱,생산관리,회사: 코오롱 | 직무: 생산관리 | 유형: -,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/18759?page=525&sort=RECENT_SCRAP_COUNT&tab=all
10371,2016 하반기,sk 케미칼,품질관리,회사: sk 케미칼 | 직무: 품질관리 | 유형: 대기업,생산·품질,품질관리,"QA, QC",상,,https://linkareer.com/cover-letter/21892?page=525&sort=RECENT_SCRAP_COUNT&tab=all
10372,2018 하반기,하나은행,행원,회사: 하나은행 | 직무: 행원 | 유형: 은행권,금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/23082?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10373,2016 상반기,SK하이닉스,공정(제조),회사: SK하이닉스 | 직무: 공정(제조) | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/12676?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10374,2017 상반기,현대제철,연구개발,회사: 현대제철 | 직무: 연구개발 | 유형: 대기업,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/22088?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10375,2017 상반기,LG화학,TS&D,회사: LG화학 | 직무: TS&D | 유형: 대기업,연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/17743?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10376,2015 상반기,한샘,영업관리,회사: 한샘 | 직무: 영업관리 | 유형: -,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/20607?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10377,2016 하반기,CJ ENM,컨벤션사업,회사: CJ ENM | 직무: 컨벤션사업 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/17714?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10378,2017 상반기,CJ프레시웨이,-,회사: CJ프레시웨이 | 직무: - | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/20407?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10379,2016 하반기,삼성에스원,홍보,회사: 삼성에스원 | 직무: 홍보 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/22135?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10380,2019 상반기,롯데슈퍼,영업관리,회사: 롯데슈퍼 | 직무: 영업관리 | 유형: 인턴,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/24083?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10381,2018 상반기,CJ 대한통운,건설부문 설비,회사: CJ 대한통운 | 직무: 건설부문 설비 | 유형: -,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/19255?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10382,2016 하반기,SK E&S,LNG 사업부,회사: SK E&S | 직무: LNG 사업부 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/17780?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10383,2016 하반기,SK하이닉스,마케팅영업,회사: SK하이닉스 | 직무: 마케팅영업 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/21718?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10384,2015 하반기,이랜드,전략기획,회사: 이랜드 | 직무: 전략기획 | 유형: 대기업,경영·사무,기획,"사업기획, 전략기획",상,,https://linkareer.com/cover-letter/20258?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10385,2018 상반기,셀트리온,지식재산,회사: 셀트리온 | 직무: 지식재산 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/23031?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10386,2016 하반기,KT,보안관제/운용,회사: KT | 직무: 보안관제/운용 | 유형: -,IT·개발,보안,"정보보안, 모의해킹, 보안관제",상,,https://linkareer.com/cover-letter/18562?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10387,2016 하반기,동원F&B,영업,회사: 동원F&B | 직무: 영업 | 유형: -,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/18744?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10388,2016 하반기,금호타이어,생산관리,회사: 금호타이어 | 직무: 생산관리 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/21611?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10389,2017 하반기,삼성전자,CE/IM/전사직속 영업마케팅,회사: 삼성전자 | 직무: CE/IM/전사직속 영업마케팅 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/21745?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10390,2016 하반기,현대모비스,연구개발 SW,회사: 현대모비스 | 직무: 연구개발 SW | 유형: 대기업,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/17884?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10391,2018 하반기,대한항공,일반직,회사: 대한항공 | 직무: 일반직 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/15217?page=526&sort=RECENT_SCRAP_COUNT&tab=all
10392,2017 상반기,SK하이닉스,공정통합,회사: SK하이닉스 | 직무: 공정통합 | 유형: 대기업,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/13022?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10393,2018 하반기,한국기술교육대학교,이러닝 가상훈련 곤텐츠 개발,회사: 한국기술교육대학교 | 직무: 이러닝 가상훈련 곤텐츠 개발 | 유형: 공기업,IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/23641?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10394,2020 상반기,한국동서발전,본사 및 정보지원센터,"회사: 한국동서발전 | 직무: 본사 및 정보지원센터 | 유형: 인턴, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/25444?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10395,2015 하반기,CJ제일제당,-,회사: CJ제일제당 | 직무: - | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/18039?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10396,2015 하반기,LG전자,H&A,회사: LG전자 | 직무: H&A | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/21390?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10397,2017 상반기,삼성SDI,기술직,회사: 삼성SDI | 직무: 기술직 | 유형: 대기업,엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/20286?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10398,2016 하반기,삼성전자,DS,회사: 삼성전자 | 직무: DS | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/13297?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10399,2017 상반기,롯데 주류,생산관리,회사: 롯데 주류 | 직무: 생산관리 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/17105?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10400,2015 하반기,LG전자,HE사업본부,회사: LG전자 | 직무: HE사업본부 | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/20025?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10401,2015 하반기,KT,스카이라이프,회사: KT | 직무: 스카이라이프 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/15482?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10402,2017 상반기,SK하이닉스,영업마케팅,회사: SK하이닉스 | 직무: 영업마케팅 | 유형: -,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/18553?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10403,2023 상반기,LG전자,한국영업본부_영업/마케팅,"회사: LG전자 | 직무: 한국영업본부_영업/마케팅 | 유형: 신입, 대기업",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/35996?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10404,2015 하반기,두산건설,건축 시공,회사: 두산건설 | 직무: 건축 시공 | 유형: 대기업,건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",상,,https://linkareer.com/cover-letter/12401?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10405,2015 하반기,삼성바이오로직스,연구개발,회사: 삼성바이오로직스 | 직무: 연구개발 | 유형: -,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/18752?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10406,2018 상반기,LG CNS,SW 개발,회사: LG CNS | 직무: SW 개발 | 유형: 대기업,IT·개발,백엔드 개발,"Java, Spring, Node.js, Python, API 개발",중,,https://linkareer.com/cover-letter/22159?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10407,2015 하반기,"금호아시아나, 금호타이어",R&D,"회사: 금호아시아나, 금호타이어 | 직무: R&D | 유형: 대기업",연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/16190?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10408,2017 상반기,에어서울,항공서비스,회사: 에어서울 | 직무: 항공서비스 | 유형: 대기업,연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/21926?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10409,2017 하반기,CJ제일제당,-,회사: CJ제일제당 | 직무: - | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/22694?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10410,2015 하반기,두산중공업,토목시공,회사: 두산중공업 | 직무: 토목시공 | 유형: 대기업,건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",상,,https://linkareer.com/cover-letter/13132?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10411,2018 상반기,SK이노베이션,에너지_엔지니어(생산기술),회사: SK이노베이션 | 직무: 에너지_엔지니어(생산기술) | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/23425?page=527&sort=RECENT_SCRAP_COUNT&tab=all
10412,2017 하반기,삼성전자,-,회사: 삼성전자 | 직무: - | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/13788?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10413,2020 하반기,한국철도공사(코레일),차량 6급,"회사: 한국철도공사(코레일) | 직무: 차량 6급 | 유형: 신입, 공기업",공공·행정,공공행정,"공공기관, 정책, 일반행정",중,,https://linkareer.com/cover-letter/25412?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10414,2016 하반기,SK 바이오팜,R&D,회사: SK 바이오팜 | 직무: R&D | 유형: 대기업,연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/21984?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10415,2016 하반기,현대오트론,품질,회사: 현대오트론 | 직무: 품질 | 유형: 대기업,생산·품질,품질관리,"QA, QC",중,,https://linkareer.com/cover-letter/13305?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10416,2017 상반기,SK,생산운영,회사: SK | 직무: 생산운영 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/17382?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10417,2015 하반기,포스코,생산기술,회사: 포스코 | 직무: 생산기술 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/22112?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10418,2016 상반기,현대중공업,생산,회사: 현대중공업 | 직무: 생산 | 유형: 대기업,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/13732?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10419,2016 상반기,GS칼텍스,경영지원,회사: GS칼텍스 | 직무: 경영지원 | 유형: 대기업,경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/22291?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10420,2018 상반기,CJ올리브네트웍스,IT사업부문 클라우드,회사: CJ올리브네트웍스 | 직무: IT사업부문 클라우드 | 유형: -,IT·개발,클라우드·인프라,"AWS, Azure, DevOps, Kubernetes",중,,https://linkareer.com/cover-letter/18506?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10421,2015 하반기,이랜드,전략기획[외식부문],회사: 이랜드 | 직무: 전략기획[외식부문] | 유형: 대기업,경영·사무,기획,"사업기획, 전략기획",상,,https://linkareer.com/cover-letter/13075?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10422,2015 하반기,포스코,생산기술,회사: 포스코 | 직무: 생산기술 | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/20991?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10423,2017 하반기,CJ 대한통운,인사,회사: CJ 대한통운 | 직무: 인사 | 유형: 대기업,경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/13603?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10424,2015 하반기,삼성전자,연구개발,회사: 삼성전자 | 직무: 연구개발 | 유형: 대기업,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/13210?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10425,2015 하반기,삼성전자,-,회사: 삼성전자 | 직무: - | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/15276?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10426,2015 하반기,아모레퍼시픽,마케팅/ 영업,회사: 아모레퍼시픽 | 직무: 마케팅/ 영업 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/20265?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10427,2017 상반기,CJ올리브네트웍스,올리브영부문 온라인서비스기획,회사: CJ올리브네트웍스 | 직무: 올리브영부문 온라인서비스기획 | 유형: -,경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/19301?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10428,2018 상반기,CJ ENM,오쇼핑 방송미술,회사: CJ ENM | 직무: 오쇼핑 방송미술 | 유형: 대기업,미디어·콘텐츠,콘텐츠 제작,"PD, 영상, 방송, 작가",중,,https://linkareer.com/cover-letter/22692?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10429,2015 하반기,신세계 백화점,매장관리,회사: 신세계 백화점 | 직무: 매장관리 | 유형: MAJOR_COMPANY,영업·고객관리,B2C 영업,일반 소비자 영업,중,,https://linkareer.com/cover-letter/17306?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10430,2016 하반기,LG전자,VC,회사: LG전자 | 직무: VC | 유형: -,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/18060?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10431,2016 하반기,SK이노베이션 계열(루브리컨츠),비즈니스,회사: SK이노베이션 계열(루브리컨츠) | 직무: 비즈니스 | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/19684?page=528&sort=RECENT_SCRAP_COUNT&tab=all
10432,2015 하반기,에뛰드,경영지원 HR,회사: 에뛰드 | 직무: 경영지원 HR | 유형: -,경영·사무,인사,"채용, 교육, 조직관리",중,,https://linkareer.com/cover-letter/15043?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10433,2015 하반기,LG하우시스,국내영업,회사: LG하우시스 | 직무: 국내영업 | 유형: 대기업,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/17904?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10434,2016 상반기,삼성전자,DS SCSA,회사: 삼성전자 | 직무: DS SCSA | 유형: -,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/19469?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10435,2016 하반기,대한항공,일반관리,회사: 대한항공 | 직무: 일반관리 | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",상,,https://linkareer.com/cover-letter/19138?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10436,2015 하반기,KB국민은행,일반행원L1,회사: KB국민은행 | 직무: 일반행원L1 | 유형: 은행권,금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/19604?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10437,2016 하반기,CJ ENM,컨벤션 산업,회사: CJ ENM | 직무: 컨벤션 산업 | 유형: -,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/18900?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10438,2017 하반기,LG화학,기초소재 생산기술,회사: LG화학 | 직무: 기초소재 생산기술 | 유형: -,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/18127?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10439,2019 상반기,롯데제과,영업리더,회사: 롯데제과 | 직무: 영업리더 | 유형: 대기업,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/17449?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10440,2015 하반기,포스코,설비기술,회사: 포스코 | 직무: 설비기술 | 유형: 대기업,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/16071?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10441,2018 하반기,캐논코리아비즈니스솔루션,연구개발(셍산지원으로 변경),회사: 캐논코리아비즈니스솔루션 | 직무: 연구개발(셍산지원으로 변경) | 유형: 대기업,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/17387?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10442,2015 하반기,CJ프레시웨이,식자재영업,회사: CJ프레시웨이 | 직무: 식자재영업 | 유형: 대기업,영업·고객관리,B2B 영업,기업영업,중,,https://linkareer.com/cover-letter/11817?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10443,2017 하반기,삼성전자,메모리 P직군,회사: 삼성전자 | 직무: 메모리 P직군 | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/22525?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10444,2017 상반기,LG화학,생산기술,회사: LG화학 | 직무: 생산기술 | 유형: -,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/18067?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10445,2017 하반기,삼성디스플레이,-,회사: 삼성디스플레이 | 직무: - | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/12727?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10446,2015 하반기,아모레퍼시픽,-,회사: 아모레퍼시픽 | 직무: - | 유형: 대기업,기타,일반·미분류,"일반직, 인턴, 직무 미상",중,,https://linkareer.com/cover-letter/13500?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10447,2018 하반기,KT,영업마케팅,회사: KT | 직무: 영업마케팅 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/21640?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10448,2015 하반기,이랜드 건설,건축시공,회사: 이랜드 건설 | 직무: 건축시공 | 유형: 대기업,건설·환경,건축·토목,"건축, 토목, 플랜트, BIM",상,,https://linkareer.com/cover-letter/21893?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10449,2016 하반기,삼성전자,재무,회사: 삼성전자 | 직무: 재무 | 유형: 대기업,경영·사무,재무·회계,"회계, 세무, 재무관리",중,,https://linkareer.com/cover-letter/16243?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10450,2016 하반기,삼성전자,DS SW,회사: 삼성전자 | 직무: DS SW | 유형: -,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/18689?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10451,2015 하반기,이랜드건설,전기시공,회사: 이랜드건설 | 직무: 전기시공 | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/21953?page=529&sort=RECENT_SCRAP_COUNT&tab=all
10452,2017 하반기,삼성전자,DS부문,회사: 삼성전자 | 직무: DS부문 | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/12797?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10453,2018 하반기,롯데제과,경영지원,회사: 롯데제과 | 직무: 경영지원 | 유형: 대기업,경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/21008?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10454,2020 상반기,크라우디,증권형 프로젝트 매니저,"회사: 크라우디 | 직무: 증권형 프로젝트 매니저 | 유형: 신입, 중소기업/스타트업",금융,금융일반,"은행, 증권, 보험, 카드, 여신",중,,https://linkareer.com/cover-letter/25691?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10455,2016 하반기,SK네트웍스,에너지 마케팅,회사: SK네트웍스 | 직무: 에너지 마케팅 | 유형: 대기업,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/21063?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10456,2017 하반기,LG이노텍,전사 HW,회사: LG이노텍 | 직무: 전사 HW | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/17090?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10457,2016 하반기,삼성전자,메모리사업부(생산관리),회사: 삼성전자 | 직무: 메모리사업부(생산관리) | 유형: 대기업,생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/21317?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10458,2015 하반기,현대중공업,설계,회사: 현대중공업 | 직무: 설계 | 유형: 대기업,연구개발,연구원,신기술 연구,중,,https://linkareer.com/cover-letter/21425?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10459,2017 하반기,CJ 대한통운,SCM컨설턴트,회사: CJ 대한통운 | 직무: SCM컨설턴트 | 유형: 대기업,물류·구매,SCM·물류,"공급망, 물류운영",중,,https://linkareer.com/cover-letter/16162?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10460,2015 하반기,현대모비스,연구개발 SW,회사: 현대모비스 | 직무: 연구개발 SW | 유형: 대기업,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/15109?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10461,2016 하반기,기아,경영지원,회사: 기아 | 직무: 경영지원 | 유형: -,경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/18862?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10462,2016 하반기,LG전자,HE R&D HW,회사: LG전자 | 직무: HE R&D HW | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/21840?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10463,2017 상반기,삼성전자,ds,회사: 삼성전자 | 직무: ds | 유형: 대기업,연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",상,,https://linkareer.com/cover-letter/19824?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10464,2017 상반기,SK C&C,ICT / 인턴,"회사: SK C&C | 직무: ICT / 인턴 | 유형: 인턴, 대기업",IT·개발,클라우드·인프라,"AWS, Azure, DevOps, Kubernetes",중,,https://linkareer.com/cover-letter/21738?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10465,2018 하반기,한국철도공사(코레일),사무영업,"회사: 한국철도공사(코레일) | 직무: 사무영업 | 유형: 인턴, 공기업",경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/23870?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10466,2016 하반기,기아,경영지원,회사: 기아 | 직무: 경영지원 | 유형: 대기업,경영·사무,총무,"자산관리, 문서관리",중,,https://linkareer.com/cover-letter/13468?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10467,2017 상반기,현대자동차,연구개발,회사: 현대자동차 | 직무: 연구개발 | 유형: 대기업,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/17410?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10468,2018 하반기,KT,마케팅기획,회사: KT | 직무: 마케팅기획 | 유형: 대기업,경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/20983?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10469,2016 하반기,삼성디스플레이,설비,회사: 삼성디스플레이 | 직무: 설비 | 유형: 대기업,생산·품질,생산관리,제조 운영,중,,https://linkareer.com/cover-letter/18432?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10470,2017 하반기,삼성카드,마케팅,회사: 삼성카드 | 직무: 마케팅 | 유형: -,마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/18395?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10471,2015 하반기,현대모비스,품질,회사: 현대모비스 | 직무: 품질 | 유형: 대기업,생산·품질,품질관리,"QA, QC",중,,https://linkareer.com/cover-letter/13824?page=530&sort=RECENT_SCRAP_COUNT&tab=all
10472,2017 하반기,삼성SDI,기술직,회사: 삼성SDI | 직무: 기술직 | 유형: 대기업,엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",중,,https://linkareer.com/cover-letter/15096?page=531&sort=RECENT_SCRAP_COUNT&tab=all
10473,2018 하반기,한국법제연구원,국제협력,회사: 한국법제연구원 | 직무: 국제협력 | 유형: -,연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/23578?page=531&sort=RECENT_SCRAP_COUNT&tab=all
10474,2018 하반기,한국토지주택공사,기계,회사: 한국토지주택공사 | 직무: 기계 | 유형: 공기업,연구개발,기계·항공,"기계, 항공우주, 기구",중,,https://linkareer.com/cover-letter/24452?page=531&sort=RECENT_SCRAP_COUNT&tab=all
